,Customer,Age,City,Product,Limit,Company,Segment,Payment_Date,Payment_Amount,Payment_Month,Payment_Year,Product_Level,Segment_Govt,Segment_Normal Salary,Segment_Salaried_MNC,Segment_Salaried_Pvt,Segment_Self Employed
1,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,12-Jan-04,495414.75,1,2004,2,False,False,False,False,True
2,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Jan-04,245899.02,1,2004,2,False,False,False,False,True
3,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,15-Jan-04,259490.06,1,2004,2,False,False,False,False,True
4,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,25-Jan-04,437555.12,1,2004,2,False,False,False,False,True
5,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,17-Jan-05,165972.88,1,2005,2,False,False,False,False,True
6,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,23-Feb-05,365366.62,2,2005,2,False,False,False,False,True
7,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,01-Feb-05,14473.41,2,2005,2,False,False,False,False,True
8,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,12-Jan-04,350446.82,1,2004,2,False,False,False,False,True
9,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,05-Feb-04,117964.43,2,2004,2,False,False,False,False,True
10,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,19-Apr-06,79849.19,4,2006,2,False,False,False,False,True
11,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,22-Nov-05,402099.78,11,2005,2,False,False,False,False,True
12,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,21-Nov-06,169358.4,11,2006,2,False,False,False,False,True
13,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Jul-05,297176.74,7,2005,2,False,False,False,False,True
14,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Sep-06,186427.5,9,2006,2,False,False,False,False,True
15,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,23-Feb-05,96670.7,2,2005,2,False,False,False,False,True
16,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,01-Apr-06,429099.97,4,2006,2,False,False,False,False,True
17,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,15-Jan-04,453027.64,1,2004,2,False,False,False,False,True
18,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,16-Feb-05,187398.64,2,2005,2,False,False,False,False,True
19,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Jan-04,185955.07,1,2004,1,False,False,True,False,False
20,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,28-Feb-05,412783.34,2,2005,1,False,False,True,False,False
21,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,06-Apr-04,148038.67,4,2004,1,False,False,True,False,False
22,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,23-Nov-04,179144.68,11,2004,1,False,False,True,False,False
23,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,22-Nov-05,10274.0,11,2005,1,False,False,True,False,False
24,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Aug-05,381635.66,8,2005,1,False,False,True,False,False
25,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Oct-06,298423.86,10,2006,1,False,False,True,False,False
26,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Feb-05,431953.19,2,2005,1,False,False,True,False,False
27,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,02-Apr-06,339899.24,4,2006,1,False,False,True,False,False
28,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,25-Jan-04,298200.38,1,2004,1,False,False,True,False,False
29,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,23-Feb-05,132970.25,2,2005,1,False,False,True,False,False
30,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,15-Jan-04,84876.34,1,2004,3,False,False,False,True,False
31,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,16-Feb-05,435829.71,2,2005,3,False,False,False,True,False
32,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,27-Apr-05,336323.41,4,2005,3,False,False,False,True,False
33,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,24-May-05,136493.67,5,2005,3,False,False,False,True,False
34,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,23-Nov-04,233364.46,11,2004,3,False,False,False,True,False
35,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Sep-05,369413.74,9,2005,3,False,False,False,True,False
36,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Nov-06,233945.84,11,2006,3,False,False,False,True,False
37,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,04-Feb-06,288900.12,2,2006,3,False,False,False,True,False
38,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Apr-06,79705.12,4,2006,3,False,False,False,True,False
39,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,12-Jan-04,327273.46,1,2004,3,False,False,False,True,False
