,Customer,Age,City,Product,Limit,Company,Segment,Spend_Date,Spend_Type,Spend_Amount,Spend_Month,Spend_Year,Spend Amount to Limit Ratio,Product_Level,Segment_Govt,Segment_Normal Salary,Segment_Salaried_MNC,Segment_Salaried_Pvt,Segment_Self Employed,Spend_Type_AIR TICKET,Spend_Type_AUTO,Spend_Type_BIKE,Spend_Type_BUS TICKET,Spend_Type_CAMERA,Spend_Type_CAR,Spend_Type_CLOTHES,Spend_Type_FOOD,Spend_Type_JEWELLERY,Spend_Type_MOVIE TICKET,Spend_Type_PETRO,Spend_Type_RENTAL,Spend_Type_SANDALS,Spend_Type_SHOPPING,Spend_Type_TRAIN TICKET
1,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,12-Jan-04,JEWELLERY,485470.8,1,2004,0.9709416,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Jan-04,PETRO,410556.13,1,2004,0.82111226,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,15-Jan-04,CLOTHES,23740.46,1,2004,0.047480919999999996,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,25-Jan-04,FOOD,484342.47,1,2004,0.9686849399999999,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,17-Jan-05,CAMERA,369694.07,1,2005,0.73938814,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,23-Feb-05,SANDALS,168285.6,2,2005,0.3365712,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,01-Feb-05,CAR,23370.2,2,2005,0.0467404,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,12-Jan-04,TRAIN TICKET,440563.22,1,2004,0.88112644,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,05-Feb-04,BUS TICKET,52208.65,2,2004,0.1044173,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,19-Apr-06,AIR TICKET,346925.68,4,2006,0.69385136,2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,22-Nov-05,PETRO,183839.61,11,2005,0.36767922,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Aug-05,MOVIE TICKET,344372.1,8,2005,0.6887441999999999,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Oct-06,RENTAL,244534.68,10,2006,0.48906936,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,03-Feb-05,FOOD,155611.91,2,2005,0.31122382,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,02-Apr-06,TRAIN TICKET,176372.82,4,2006,0.35274564,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,25-Jan-04,TRAIN TICKET,394970.96,1,2004,0.7899419200000001,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,23-Feb-05,CLOTHES,476702.09,2,2005,0.95340418,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,A1,76,BANGALORE,Gold,500000.0,C1,Self Employed,05-May-04,BUS TICKET,361141.31,5,2004,0.72228262,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
19,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Jan-04,RENTAL,199554.72,1,2004,1.9955472,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,28-Feb-05,TRAIN TICKET,376887.49,2,2005,3.7688748999999997,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,06-Apr-04,BUS TICKET,439648.53,4,2004,4.3964853,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
22,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,23-Nov-04,PETRO,384078.73,11,2004,3.8407872999999997,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
23,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Sep-05,JEWELLERY,117089.16,9,2005,1.1708916,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
