,DateTime,Junction,Vehicles,ID,date,time,hour,day,month,year,dayofweek
0,01-01-2016 0.00,1,13,20160101001,01-01-2016,0.00.00,0,1,1,2016,4
1,01-01-2016 1.00,1,13,20160101011,01-01-2016,1.00.00,1,1,1,2016,4
2,01-01-2016 2.00,1,11,20160101021,01-01-2016,2.00.00,2,1,1,2016,4
3,01-01-2016 3.00,1,6,20160101031,01-01-2016,3.00.00,3,1,1,2016,4
4,01-01-2016 4.00,1,8,20160101041,01-01-2016,4.00.00,4,1,1,2016,4
5,01-01-2016 5.00,1,6,20160101051,01-01-2016,5.00.00,5,1,1,2016,4
6,01-01-2016 6.00,1,7,20160101061,01-01-2016,6.00.00,6,1,1,2016,4
7,01-01-2016 7.00,1,8,20160101071,01-01-2016,7.00.00,7,1,1,2016,4
8,01-01-2016 8.00,1,9,20160101081,01-01-2016,8.00.00,8,1,1,2016,4
9,01-01-2016 9.00,1,8,20160101091,01-01-2016,9.00.00,9,1,1,2016,4
10,01-01-2016 10.00,1,11,20160101101,01-01-2016,10.00.00,10,1,1,2016,4
11,01-01-2016 11.00,1,10,20160101111,01-01-2016,11.00.00,11,1,1,2016,4
12,01-01-2016 12.00,1,13,20160101121,01-01-2016,12.00.00,12,1,1,2016,4
13,01-01-2016 13.00,1,12,20160101131,01-01-2016,13.00.00,13,1,1,2016,4
14,01-01-2016 14.00,1,11,20160101141,01-01-2016,14.00.00,14,1,1,2016,4
15,01-01-2016 15.00,1,17,20160101151,01-01-2016,15.00.00,15,1,1,2016,4
16,01-01-2016 16.00,1,20,20160101161,01-01-2016,16.00.00,16,1,1,2016,4
17,01-01-2016 17.00,1,15,20160101171,01-01-2016,17.00.00,17,1,1,2016,4
18,01-01-2016 18.00,1,15,20160101181,01-01-2016,18.00.00,18,1,1,2016,4
19,01-01-2016 19.00,1,18,20160101191,01-01-2016,19.00.00,19,1,1,2016,4
20,01-01-2016 20.00,1,17,20160101201,01-01-2016,20.00.00,20,1,1,2016,4
21,01-01-2016 21.00,1,18,20160101211,01-01-2016,21.00.00,21,1,1,2016,4
22,01-01-2016 22.00,1,17,20160101221,01-01-2016,22.00.00,22,1,1,2016,4
23,01-01-2016 23.00,1,18,20160101231,01-01-2016,23.00.00,23,1,1,2016,4
24,02-01-2016 0.00,1,15,20160102001,02-01-2016,0.00.00,0,2,1,2016,5
25,02-01-2016 1.00,1,15,20160102011,02-01-2016,1.00.00,1,2,1,2016,5
26,02-01-2016 2.00,1,11,20160102021,02-01-2016,2.00.00,2,2,1,2016,5
27,02-01-2016 3.00,1,10,20160102031,02-01-2016,3.00.00,3,2,1,2016,5
28,02-01-2016 4.00,1,8,20160102041,02-01-2016,4.00.00,4,2,1,2016,5
29,02-01-2016 5.00,1,9,20160102051,02-01-2016,5.00.00,5,2,1,2016,5
30,02-01-2016 6.00,1,9,20160102061,02-01-2016,6.00.00,6,2,1,2016,5
31,02-01-2016 7.00,1,11,20160102071,02-01-2016,7.00.00,7,2,1,2016,5
32,02-01-2016 8.00,1,9,20160102081,02-01-2016,8.00.00,8,2,1,2016,5
33,02-01-2016 9.00,1,13,20160102091,02-01-2016,9.00.00,9,2,1,2016,5
34,02-01-2016 10.00,1,20,20160102101,02-01-2016,10.00.00,10,2,1,2016,5
35,02-01-2016 11.00,1,21,20160102111,02-01-2016,11.00.00,11,2,1,2016,5
36,02-01-2016 12.00,1,21,20160102121,02-01-2016,12.00.00,12,2,1,2016,5
37,02-01-2016 13.00,1,18,20160102131,02-01-2016,13.00.00,13,2,1,2016,5
38,02-01-2016 14.00,1,15,20160102141,02-01-2016,14.00.00,14,2,1,2016,5
39,02-01-2016 15.00,1,16,20160102151,02-01-2016,15.00.00,15,2,1,2016,5
40,02-01-2016 16.00,1,17,20160102161,02-01-2016,16.00.00,16,2,1,2016,5
41,02-01-2016 17.00,1,17,20160102171,02-01-2016,17.00.00,17,2,1,2016,5
42,02-01-2016 18.00,1,18,20160102181,02-01-2016,18.00.00,18,2,1,2016,5
43,02-01-2016 19.00,1,16,20160102191,02-01-2016,19.00.00,19,2,1,2016,5
44,02-01-2016 20.00,1,21,20160102201,02-01-2016,20.00.00,20,2,1,2016,5
45,02-01-2016 21.00,1,20,20160102211,02-01-2016,21.00.00,21,2,1,2016,5
46,02-01-2016 22.00,1,18,20160102221,02-01-2016,22.00.00,22,2,1,2016,5
47,02-01-2016 23.00,1,21,20160102231,02-01-2016,23.00.00,23,2,1,2016,5
48,03-01-2016 0.00,1,19,20160103001,03-01-2016,0.00.00,0,3,1,2016,6
49,03-01-2016 1.00,1,13,20160103011,03-01-2016,1.00.00,1,3,1,2016,6
50,03-01-2016 2.00,1,11,20160103021,03-01-2016,2.00.00,2,3,1,2016,6
51,03-01-2016 3.00,1,11,20160103031,03-01-2016,3.00.00,3,3,1,2016,6
52,03-01-2016 4.00,1,8,20160103041,03-01-2016,4.00.00,4,3,1,2016,6
53,03-01-2016 5.00,1,7,20160103051,03-01-2016,5.00.00,5,3,1,2016,6
54,03-01-2016 6.00,1,10,20160103061,03-01-2016,6.00.00,6,3,1,2016,6
55,03-01-2016 7.00,1,9,20160103071,03-01-2016,7.00.00,7,3,1,2016,6
56,03-01-2016 8.00,1,9,20160103081,03-01-2016,8.00.00,8,3,1,2016,6
57,03-01-2016 9.00,1,12,20160103091,03-01-2016,9.00.00,9,3,1,2016,6
58,03-01-2016 10.00,1,25,20160103101,03-01-2016,10.00.00,10,3,1,2016,6
59,03-01-2016 11.00,1,22,20160103111,03-01-2016,11.00.00,11,3,1,2016,6
60,03-01-2016 12.00,1,21,20160103121,03-01-2016,12.00.00,12,3,1,2016,6
61,03-01-2016 13.00,1,18,20160103131,03-01-2016,13.00.00,13,3,1,2016,6
62,03-01-2016 14.00,1,20,20160103141,03-01-2016,14.00.00,14,3,1,2016,6
63,03-01-2016 15.00,1,20,20160103151,03-01-2016,15.00.00,15,3,1,2016,6
64,03-01-2016 16.00,1,17,20160103161,03-01-2016,16.00.00,16,3,1,2016,6
65,03-01-2016 17.00,1,20,20160103171,03-01-2016,17.00.00,17,3,1,2016,6
66,03-01-2016 18.00,1,17,20160103181,03-01-2016,18.00.00,18,3,1,2016,6
67,03-01-2016 19.00,1,28,20160103191,03-01-2016,19.00.00,19,3,1,2016,6
68,03-01-2016 20.00,1,24,20160103201,03-01-2016,20.00.00,20,3,1,2016,6
69,03-01-2016 21.00,1,22,20160103211,03-01-2016,21.00.00,21,3,1,2016,6
70,03-01-2016 22.00,1,22,20160103221,03-01-2016,22.00.00,22,3,1,2016,6
71,03-01-2016 23.00,1,20,20160103231,03-01-2016,23.00.00,23,3,1,2016,6
72,04-01-2016 0.00,1,19,20160104001,04-01-2016,0.00.00,0,4,1,2016,0
73,04-01-2016 1.00,1,19,20160104011,04-01-2016,1.00.00,1,4,1,2016,0
74,04-01-2016 2.00,1,12,20160104021,04-01-2016,2.00.00,2,4,1,2016,0
75,04-01-2016 3.00,1,17,20160104031,04-01-2016,3.00.00,3,4,1,2016,0
76,04-01-2016 4.00,1,13,20160104041,04-01-2016,4.00.00,4,4,1,2016,0
77,04-01-2016 5.00,1,14,20160104051,04-01-2016,5.00.00,5,4,1,2016,0
78,04-01-2016 6.00,1,14,20160104061,04-01-2016,6.00.00,6,4,1,2016,0
79,04-01-2016 7.00,1,18,20160104071,04-01-2016,7.00.00,7,4,1,2016,0
80,04-01-2016 8.00,1,19,20160104081,04-01-2016,8.00.00,8,4,1,2016,0
81,04-01-2016 9.00,1,28,20160104091,04-01-2016,9.00.00,9,4,1,2016,0
82,04-01-2016 10.00,1,35,20160104101,04-01-2016,10.00.00,10,4,1,2016,0
83,04-01-2016 11.00,1,39,20160104111,04-01-2016,11.00.00,11,4,1,2016,0
84,04-01-2016 12.00,1,37,20160104121,04-01-2016,12.00.00,12,4,1,2016,0
85,04-01-2016 13.00,1,28,20160104131,04-01-2016,13.00.00,13,4,1,2016,0
86,04-01-2016 14.00,1,36,20160104141,04-01-2016,14.00.00,14,4,1,2016,0
87,04-01-2016 15.00,1,36,20160104151,04-01-2016,15.00.00,15,4,1,2016,0
88,04-01-2016 16.00,1,33,20160104161,04-01-2016,16.00.00,16,4,1,2016,0
89,04-01-2016 17.00,1,31,20160104171,04-01-2016,17.00.00,17,4,1,2016,0
90,04-01-2016 18.00,1,34,20160104181,04-01-2016,18.00.00,18,4,1,2016,0
91,04-01-2016 19.00,1,41,20160104191,04-01-2016,19.00.00,19,4,1,2016,0
92,04-01-2016 20.00,1,38,20160104201,04-01-2016,20.00.00,20,4,1,2016,0
93,04-01-2016 21.00,1,34,20160104211,04-01-2016,21.00.00,21,4,1,2016,0
94,04-01-2016 22.00,1,29,20160104221,04-01-2016,22.00.00,22,4,1,2016,0
95,04-01-2016 23.00,1,29,20160104231,04-01-2016,23.00.00,23,4,1,2016,0
96,05-01-2016 0.00,1,28,20160105001,05-01-2016,0.00.00,0,5,1,2016,1
97,05-01-2016 1.00,1,21,20160105011,05-01-2016,1.00.00,1,5,1,2016,1
98,05-01-2016 2.00,1,16,20160105021,05-01-2016,2.00.00,2,5,1,2016,1
99,05-01-2016 3.00,1,16,20160105031,05-01-2016,3.00.00,3,5,1,2016,1
100,05-01-2016 4.00,1,14,20160105041,05-01-2016,4.00.00,4,5,1,2016,1
101,05-01-2016 5.00,1,13,20160105051,05-01-2016,5.00.00,5,5,1,2016,1
102,05-01-2016 6.00,1,13,20160105061,05-01-2016,6.00.00,6,5,1,2016,1
103,05-01-2016 7.00,1,13,20160105071,05-01-2016,7.00.00,7,5,1,2016,1
104,05-01-2016 8.00,1,20,20160105081,05-01-2016,8.00.00,8,5,1,2016,1
105,05-01-2016 9.00,1,18,20160105091,05-01-2016,9.00.00,9,5,1,2016,1
106,05-01-2016 10.00,1,27,20160105101,05-01-2016,10.00.00,10,5,1,2016,1
107,05-01-2016 11.00,1,31,20160105111,05-01-2016,11.00.00,11,5,1,2016,1
108,05-01-2016 12.00,1,32,20160105121,05-01-2016,12.00.00,12,5,1,2016,1
109,05-01-2016 13.00,1,26,20160105131,05-01-2016,13.00.00,13,5,1,2016,1
110,05-01-2016 14.00,1,29,20160105141,05-01-2016,14.00.00,14,5,1,2016,1
111,05-01-2016 15.00,1,29,20160105151,05-01-2016,15.00.00,15,5,1,2016,1
112,05-01-2016 16.00,1,29,20160105161,05-01-2016,16.00.00,16,5,1,2016,1
113,05-01-2016 17.00,1,26,20160105171,05-01-2016,17.00.00,17,5,1,2016,1
114,05-01-2016 18.00,1,28,20160105181,05-01-2016,18.00.00,18,5,1,2016,1
115,05-01-2016 19.00,1,40,20160105191,05-01-2016,19.00.00,19,5,1,2016,1
116,05-01-2016 20.00,1,36,20160105201,05-01-2016,20.00.00,20,5,1,2016,1
117,05-01-2016 21.00,1,33,20160105211,05-01-2016,21.00.00,21,5,1,2016,1
118,05-01-2016 22.00,1,34,20160105221,05-01-2016,22.00.00,22,5,1,2016,1
119,05-01-2016 23.00,1,30,20160105231,05-01-2016,23.00.00,23,5,1,2016,1
120,06-01-2016 0.00,1,29,20160106001,06-01-2016,0.00.00,0,6,1,2016,2
121,06-01-2016 1.00,1,25,20160106011,06-01-2016,1.00.00,1,6,1,2016,2
122,06-01-2016 2.00,1,23,20160106021,06-01-2016,2.00.00,2,6,1,2016,2
123,06-01-2016 3.00,1,19,20160106031,06-01-2016,3.00.00,3,6,1,2016,2
124,06-01-2016 4.00,1,16,20160106041,06-01-2016,4.00.00,4,6,1,2016,2
125,06-01-2016 5.00,1,16,20160106051,06-01-2016,5.00.00,5,6,1,2016,2
126,06-01-2016 6.00,1,15,20160106061,06-01-2016,6.00.00,6,6,1,2016,2
127,06-01-2016 7.00,1,15,20160106071,06-01-2016,7.00.00,7,6,1,2016,2
128,06-01-2016 8.00,1,19,20160106081,06-01-2016,8.00.00,8,6,1,2016,2
129,06-01-2016 9.00,1,31,20160106091,06-01-2016,9.00.00,9,6,1,2016,2
130,06-01-2016 10.00,1,37,20160106101,06-01-2016,10.00.00,10,6,1,2016,2
131,06-01-2016 11.00,1,40,20160106111,06-01-2016,11.00.00,11,6,1,2016,2
132,06-01-2016 12.00,1,34,20160106121,06-01-2016,12.00.00,12,6,1,2016,2
133,06-01-2016 13.00,1,31,20160106131,06-01-2016,13.00.00,13,6,1,2016,2
134,06-01-2016 14.00,1,29,20160106141,06-01-2016,14.00.00,14,6,1,2016,2
135,06-01-2016 15.00,1,34,20160106151,06-01-2016,15.00.00,15,6,1,2016,2
136,06-01-2016 16.00,1,30,20160106161,06-01-2016,16.00.00,16,6,1,2016,2
137,06-01-2016 17.00,1,33,20160106171,06-01-2016,17.00.00,17,6,1,2016,2
138,06-01-2016 18.00,1,33,20160106181,06-01-2016,18.00.00,18,6,1,2016,2
139,06-01-2016 19.00,1,35,20160106191,06-01-2016,19.00.00,19,6,1,2016,2
140,06-01-2016 20.00,1,31,20160106201,06-01-2016,20.00.00,20,6,1,2016,2
141,06-01-2016 21.00,1,32,20160106211,06-01-2016,21.00.00,21,6,1,2016,2
142,06-01-2016 22.00,1,32,20160106221,06-01-2016,22.00.00,22,6,1,2016,2
143,06-01-2016 23.00,1,28,20160106231,06-01-2016,23.00.00,23,6,1,2016,2
144,07-01-2016 0.00,1,25,20160107001,07-01-2016,0.00.00,0,7,1,2016,3
145,07-01-2016 1.00,1,22,20160107011,07-01-2016,1.00.00,1,7,1,2016,3
146,07-01-2016 2.00,1,21,20160107021,07-01-2016,2.00.00,2,7,1,2016,3
147,07-01-2016 3.00,1,16,20160107031,07-01-2016,3.00.00,3,7,1,2016,3
148,07-01-2016 4.00,1,15,20160107041,07-01-2016,4.00.00,4,7,1,2016,3
149,07-01-2016 5.00,1,15,20160107051,07-01-2016,5.00.00,5,7,1,2016,3
150,07-01-2016 6.00,1,18,20160107061,07-01-2016,6.00.00,6,7,1,2016,3
151,07-01-2016 7.00,1,18,20160107071,07-01-2016,7.00.00,7,7,1,2016,3
152,07-01-2016 8.00,1,20,20160107081,07-01-2016,8.00.00,8,7,1,2016,3
153,07-01-2016 9.00,1,20,20160107091,07-01-2016,9.00.00,9,7,1,2016,3
154,07-01-2016 10.00,1,26,20160107101,07-01-2016,10.00.00,10,7,1,2016,3
155,07-01-2016 11.00,1,29,20160107111,07-01-2016,11.00.00,11,7,1,2016,3
156,07-01-2016 12.00,1,30,20160107121,07-01-2016,12.00.00,12,7,1,2016,3
157,07-01-2016 13.00,1,23,20160107131,07-01-2016,13.00.00,13,7,1,2016,3
158,07-01-2016 14.00,1,27,20160107141,07-01-2016,14.00.00,14,7,1,2016,3
159,07-01-2016 15.00,1,31,20160107151,07-01-2016,15.00.00,15,7,1,2016,3
160,07-01-2016 16.00,1,30,20160107161,07-01-2016,16.00.00,16,7,1,2016,3
161,07-01-2016 17.00,1,27,20160107171,07-01-2016,17.00.00,17,7,1,2016,3
162,07-01-2016 18.00,1,27,20160107181,07-01-2016,18.00.00,18,7,1,2016,3
163,07-01-2016 19.00,1,32,20160107191,07-01-2016,19.00.00,19,7,1,2016,3
164,07-01-2016 20.00,1,29,20160107201,07-01-2016,20.00.00,20,7,1,2016,3
165,07-01-2016 21.00,1,28,20160107211,07-01-2016,21.00.00,21,7,1,2016,3
166,07-01-2016 22.00,1,29,20160107221,07-01-2016,22.00.00,22,7,1,2016,3
167,07-01-2016 23.00,1,23,20160107231,07-01-2016,23.00.00,23,7,1,2016,3
168,08-01-2016 0.00,1,25,20160108001,08-01-2016,0.00.00,0,8,1,2016,4
169,08-01-2016 1.00,1,25,20160108011,08-01-2016,1.00.00,1,8,1,2016,4
170,08-01-2016 2.00,1,15,20160108021,08-01-2016,2.00.00,2,8,1,2016,4
171,08-01-2016 3.00,1,15,20160108031,08-01-2016,3.00.00,3,8,1,2016,4
172,08-01-2016 4.00,1,11,20160108041,08-01-2016,4.00.00,4,8,1,2016,4
173,08-01-2016 5.00,1,13,20160108051,08-01-2016,5.00.00,5,8,1,2016,4
